subjects,isSpeed,jitter,abs_error,R,rt
1,1,45,0.27326,-0.27326,0.54779
1,1,45,0.112594,-0.112594,0.71057
1,1,30,0.34276,-0.34276,0.58968
1,1,15,0.29124,-0.29124,0.5667
1,1,30,0.28454,-0.28454,0.68644
1,1,30,0.0112492,-0.0112492,0.51271
1,1,45,0.76994,-0.76994,0.55488
1,1,15,0.109136,0.109136,0.62685
1,1,45,0.3525,-0.3525,0.58247
1,1,30,0.51224,0.51224,0.65183
1,1,45,0.99004,-0.99004,0.68034
1,1,30,0.22854,-0.22854,0.66993
1,1,45,0.38986,0.38986,0.53626
1,1,15,0.27882,-0.27882,0.56344
1,1,15,0.55328,-0.55328,0.63451
1,1,15,0.02972,-0.02972,0.68177
1,1,30,0.47132,0.47132,0.77756
1,1,15,0.094214,-0.094214,0.55646
1,1,30,0.22528,0.22528,0.54216
1,1,15,0.142844,0.142844,0.54733
1,1,45,0.52146,0.52146,0.57101
1,1,15,0.0169042,0.0169042,0.53473
1,1,30,0.040526,0.040526,0.57589
1,1,45,2.8414,2.8414,0.61373
1,1,15,0.087204,-0.087204,0.58475
1,1,45,1.0822,-1.0822,0.67957
1,1,30,0.26554,-0.26554,0.54212
1,1,15,0.07506,0.07506,0.55076
1,1,30,0.028098,-0.028098,0.60302
1,1,30,1.17426,-1.17426,0.57697
1,1,30,0.21672,0.21672,0.65779
1,1,45,0.36108,-0.36108,0.60115
1,1,15,0.2352,0.2352,0.56436
1,1,15,0.034786,-0.034786,0.56987
1,1,45,1.7721,-1.7721,0.63017
1,1,45,2.6,2.6,0.55186
1,1,15,0.056218,0.056218,0.58492
1,1,30,0.3202,-0.3202,0.53099
1,1,45,1.35284,1.35284,0.61417
1,1,15,0.77874,-0.77874,0.56063
1,1,30,0.49902,0.49902,0.548
1,1,30,0.93038,-0.93038,0.56537
1,1,45,0.85368,-0.85368,0.68223
1,1,45,0.177808,0.177808,0.61502
1,1,45,1.0361,-1.0361,0.58877
1,1,15,0.29858,-0.29858,0.66196
1,1,15,0.32652,0.32652,0.5833
1,1,15,0.065346,0.065346,0.64557
1,1,30,0.100536,-0.100536,0.58428
1,1,15,0.046126,0.046126,0.54382
1,1,45,0.7649,0.7649,0.5701
1,1,15,0.3783,0.3783,0.66868
1,1,30,0.4434,-0.4434,0.59675
1,1,45,0.097144,0.097144,0.65021
1,1,45,1.94822,1.94822,0.60896
1,1,15,0.33698,0.33698,1.5917
1,1,15,0.95422,0.95422,0.60197
1,1,30,1.142,-1.142,0.65903
1,1,15,0.20402,0.20402,0.59509
