subjects,block_number,trial_number,stim_mean,stim_sd,estimation,abs_estimation_error,rt,R
1,3,18,100,10,98.63386091175404,1.3661390882459583,2.337,2.213338663111171
1,3,19,60,18,82.2055377709551,22.205537770955104,3.738,1.8446879538973628
1,3,20,40,4,66.89595647900387,26.89595647900387,2.588,1.5011417530664364
1,3,21,40,12,56.85154370106663,16.851543701066632,3.624,1.275745657403643
1,3,22,80,24,85.81425126708822,5.814251267088224,1.737,1.9256672953856642
1,3,23,100,20,93.75008938281628,6.24991061718373,2.774,2.1037470862745864
1,3,24,80,8,81.86509232460432,1.8650923246043192,2.749,1.8370483759459078
1,3,25,100,10,88.464009540692,11.53599045930801,3.853,1.985127732000967
1,3,26,80,16,80.28576203839222,0.285762038392221,3.836,1.8016082871976522
1,3,27,100,30,83.22607587481949,16.773924125180514,2.626,1.8675887753959972
1,3,28,40,8,44.14116952830065,4.14116952830065,2.182,0.990525527935507
1,3,29,60,18,55.316260800868065,4.683739199131935,4.006,1.2412939896861725
1,3,30,80,16,77.11260017516969,2.887399824830311,1.995,1.730402701496572
1,3,31,100,10,79.46668971779425,20.533310282205743,3.385,1.7832283473037283
1,3,32,60,12,56.26297501464451,3.7370249853554895,4.919,1.2625382069650948
1,3,33,40,4,42.78398429001632,2.7839842900163205,1.725,0.9600703624058313
1,3,35,40,8,50.387772325346575,10.387772325346576,3.488,1.130698966914742
1,3,36,100,20,75.72528263345374,24.274717366546252,4.774,1.6992713686590646
1,3,37,40,12,40.130796453924305,0.1307964539243045,1.769,0.9005329665882565
1,3,38,40,8,34.24476072027872,5.75523927972128,1.799,0.7684506335911996
1,3,39,40,4,27.16287974463998,12.83712025536002,4.391,0.6095335961150282
1,3,40,80,24,78.58739791803362,1.4126020819663836,3.09,1.7634970854573728
1,3,41,100,20,65.53828136577178,34.46171863422821,4.658,1.470675594768639
1,3,42,100,30,78.03419718035256,21.965802819647447,5.886,1.751083289932664
1,3,43,80,24,66.68975699129531,13.310243008704688,6.586,1.4965146473824422
1,3,44,100,20,80.966758705014,19.033241294986,5.185,1.8168898166617817
1,3,45,100,30,83.09305730497645,16.90694269502356,5.986,1.8646038456687837
1,3,46,80,24,74.3978828620582,5.602117137941804,5.769,1.6694845874434001
1,3,47,100,30,73.03863496541818,26.961365034581817,4.936,1.6389831359684595
1,3,48,40,12,54.475387804198064,14.475387804198064,2.542,1.222424843765169
1,3,49,40,8,44.53926845503371,4.539268455033707,2.436,0.9994588469614107
1,3,50,100,30,79.48347125873161,20.51652874126837,2.47,1.783604924201762
1,3,51,60,6,68.05429336667447,8.05429336667447,2.041,1.5271347720427793
1,3,52,60,12,60.989346269562375,0.9893462695623751,2.435,1.3685977299121517
1,3,53,80,24,77.3595839395796,2.6404160604203923,1.304,1.7359450042096158
1,3,54,60,18,65.9979769804969,5.997976980496901,1.359,1.4809911402408382
1,3,55,40,4,48.29105638221141,8.291056382211409,1.449,1.0836487711746132
1,3,56,60,12,69.15928118815745,9.159281188157449,2.676,1.5519306407733302
1,3,57,60,6,62.6746692312902,2.674669231290196,1.225,1.4064162887370826
1,3,58,80,16,72.36587723292983,7.634122767070154,3.003,1.6238864877539516
1,3,59,60,12,70.61889609657956,10.61889609657956,2.386,1.5846843227259662
1,3,60,40,8,63.44569076107562,23.445690761075625,1.375,1.4237179714066068
1,4,1,60,18,75.51640236643885,15.516402366438852,1.649,1.6945841064281084
1,4,2,80,8,87.34927059826497,7.349270598264964,1.909,1.9601130486281153
1,4,3,100,30,88.464009540692,11.53599045930801,1.706,1.985127732000967
1,4,4,60,6,78.83861543851907,18.83861543851907,1.519,1.7691343934345882
1,4,5,100,10,89.31462798567598,10.68537201432403,1.376,2.00421556527075
1,4,6,40,12,86.3030511268692,46.30305112686921,2.42,1.93663593858969
1,4,7,60,12,78.83761080837213,18.83761080837212,1.82,1.7691118495868083
1,4,8,40,8,67.49203797271151,27.492037972711515,1.436,1.514517790506242
1,4,9,80,16,65.30402470556488,14.695975294435115,6.592,1.4654188876060643
1,4,10,40,12,65.04499794186515,25.044997941865148,1.481,1.4596063406209054
1,4,11,100,10,75.6716014169019,24.328398583098103,3.469,1.6980667649765282
1,4,12,40,4,55.66170647106621,15.66170647106621,1.511,1.249045772398379
1,4,13,100,30,80.10692417149457,19.89307582850543,1.486,1.7975951748488712
1,4,14,40,4,40.05867486478681,0.0586748647868091,2.791,0.8989145619125453
1,4,15,100,20,81.0734403622625,18.926559637737512,4.203,1.8192837474523864
1,4,16,100,30,86.0383608231017,13.961639176898302,1.969,1.9306963020626011
1,4,17,40,12,54.06131517899543,14.061315178995429,1.853,1.2131330757838172
1,4,18,80,24,76.35429539322175,3.645704606778253,1.987,1.7133863819812172
1,4,19,60,18,62.946105211200525,2.946105211200532,2.758,1.4125072978828412
1,4,20,60,12,73.45429870289657,13.454298702896564,2.325,1.6483106084257866
1,4,21,100,20,83.4236311167069,16.5763688832931,3.046,1.872021904657366
1,4,22,80,8,78.55265645180538,1.447343548194624,2.456,1.7627174887782475
1,4,23,40,8,62.605844008354005,22.60584400835401,1.76,1.4048718543459537
1,4,24,40,4,52.34223390417358,12.342233904173582,2.359,1.1745569821845023
